Unnamed: 0,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,url
789,El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,COURSE,5.0,Beginner,1.5k,https://www.coursera.org/
564,Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,COURSE,4.7,Intermediate,57k,https://www.coursera.org/
870,Electric Industry Operations and Markets,Duke University,COURSE,4.8,Beginner,12k,https://www.coursera.org/
122,Electronic Music Production,Berklee College of Music,SPECIALIZATION,4.8,Intermediate,110k,https://www.coursera.org/
733,Emerging Technologies: From Smartphones to IoT to Big Data,Yonsei University,SPECIALIZATION,4.6,Beginner,17k,https://www.coursera.org/
267,"Energy Production, Distribution & Safety",University at Buffalo,SPECIALIZATION,4.7,Beginner,37k,https://www.coursera.org/
461,Engineering Health: Introduction to Yoga and Physiology,New York University,COURSE,4.8,Beginner,14k,https://www.coursera.org/
560,Engineering Project Management: Initiating and Planning,Rice University,COURSE,4.7,Beginner,23k,https://www.coursera.org/
613,English Composition I,Duke University,COURSE,4.6,Beginner,200k,https://www.coursera.org/
225,English for Business and Entrepreneurship,University of Pennsylvania,COURSE,4.8,Beginner,230k,https://www.coursera.org/
175,English for Career Development,University of Pennsylvania,COURSE,4.8,Mixed,760k,https://www.coursera.org/
303,English for Journalism,University of Pennsylvania,COURSE,4.8,Mixed,130k,https://www.coursera.org/
547,English for Research Publication Purposes,Moscow Institute of Physics and Technology,SPECIALIZATION,4.6,Intermediate,42k,https://www.coursera.org/
598,"English for Science, Technology, Engineering, and Mathematics",University of Pennsylvania,COURSE,4.8,Beginner,110k,https://www.coursera.org/
770,Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,COURSE,4.4,Beginner,2.4k,https://www.coursera.org/
292,Entrepreneurial Finance: Strategy and Innovation,Duke University,SPECIALIZATION,4.5,Intermediate,7.9k,https://www.coursera.org/
33,Entrepreneurship,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,110k,https://www.coursera.org/
246,Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,COURSE,4.8,Mixed,86k,https://www.coursera.org/
496,Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,COURSE,4.8,Mixed,38k,https://www.coursera.org/
704,Entrepreneurship 3: Growth Strategies,University of Pennsylvania,COURSE,4.7,Beginner,31k,https://www.coursera.org/
623,Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,COURSE,4.8,Beginner,20k,https://www.coursera.org/
502,Entrepreneurship: Launching an Innovative Business,"University of Maryland, College Park",SPECIALIZATION,4.6,Beginner,69k,https://www.coursera.org/
527,Epidemics - the Dynamics of Infectious Diseases,The Pennsylvania State University,COURSE,4.8,Mixed,45k,https://www.coursera.org/
570,"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,COURSE,4.7,Mixed,23k,https://www.coursera.org/
426,Epidemiology for Public Health,Imperial College London,SPECIALIZATION,4.7,Beginner,6.4k,https://www.coursera.org/
60,Epidemiology in Public Health Practice,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,31k,https://www.coursera.org/
351,Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,COURSE,4.6,Mixed,130k,https://www.coursera.org/
